object_name	epoch_mjd	field_id	ra_deg	dec_deg	mag	filter_id
S00000YMa	50100.031625222	1	114.63147898747	-33.3473364801493	19.9005	z
S000000Ga	50100.077699222	100	91.1967862390197	19.7717317264324	19.2511	r
S00000oma	50100.077699222	100	90.5785201544477	19.9579477820955	22.4383	r
S0000vp5a	50100.077699222	100	90.3436067153948	18.2114911349279	22.9826	r
S00004d1a	50100.077699222	100	91.1254192380043	18.5535983758439	23.5714	r
S00008bea	50100.077699222	100	92.0597170936097	19.1504787682218	22.9281	r
S00008vKa	50100.078504222	101	90.7550922760374	-5.74728669365373	21.249	r
S000043Ta	50100.078954222	102	89.9491971557083	-9.80162018652402	22.1514	r
S0000bTaa	50100.078954222	102	88.5612583781546	-9.74043070549561	24.1506	r
S0000rhva	50100.078954222	102	89.8977175513173	-9.00772226728387	23.4511	r
S00000Pma	50100.078954222	102	89.2874427297231	-10.4796808233088	21.1902	r
S0000cb4a	50100.079875222	104	84.3066680098714	-11.9298913915241	22.3615	r
S00002vxa	50100.079875222	104	85.0695166708072	-13.0967876414672	23.7191	r
S0000LLta	50100.081242222	107	81.7054427364104	-12.7681488870319	23.9721	r
S0000yqYa	50100.081242222	107	80.9548767125872	-13.4607051450148	23.5802	r
S0000cAIa	50100.081242222	107	79.5272788276753	-11.8314992599953	23.8299	r
S0000FiAa	50100.081692222	108	80.8965845513844	-15.3811289509144	24.2498	r
S00003hla	50100.081692222	108	78.9545290016	-13.4455811052005	20.7589	r
S00006Hka	50100.082142221996	109	76.7596203200717	-17.1956489296032	20.8894	r
S00002CPa	50100.082603222	110	75.2675463464223	-20.5925047796792	22.0139	r
S0000ClVa	50100.082603222	110	75.9631856267548	-21.546381195819	24.0674	r
S0000oWja	50100.082603222	110	76.8990120648859	-21.3665621135235	23.5747	r
S00005Bca	50100.082603222	110	76.9089255763834	-20.6080217318023	22.0244	r
S0000d2Ta	50100.083060222	111	75.3194623848615	-15.7134645643834	22.5638	r
S0000l5ea	50100.083514221995	112	77.2436053382017	-13.2082041201448	23.8856	r
S0000cAIa	50100.083514221995	112	79.5248966233758	-11.8311422646529	23.8312	r
S00003hla	50100.083514221995	112	78.954416381804	-13.4465548080167	20.7579	r
S0000ofJa	50100.083963222	113	78.7523729375453	-10.7169396254986	22.0476	r
S00006gXa	50100.083963222	113	78.4183367013159	-8.58010063617161	21.4261	r
S00002iMa	50100.084519222	114	88.5378323955263	-2.84793525480663	23.864	r
S0000c67a	50100.084519222	114	89.6118736466512	-3.6667963068314	23.3189	r
S00003dma	50100.084519222	114	89.2658586018089	-2.65174149420943	22.1695	r
S00003Lma	50100.084519222	114	88.9946550192346	-3.50472660407826	22.8986	r
S00006u2a	50100.084519222	114	89.6882453334958	-2.90709012857636	19.3748	r
S00003Qsa	50100.084519222	114	88.0580152332962	-3.60062373170464	23.6665	r
S0000dtKa	50100.084969222	115	90.0930719678813	0.171805825849333	22.4244	r
S0000BN7a	50100.085425221994	116	94.1099089661332	-0.342873944724971	23.2878	r
S0000hFJa	50100.085425221994	116	94.1430259957337	-1.93911495111874	22.9395	r
